ResponseId	Age	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
1	30	2	2	228	8	10	7	8	50	0	0	10	10	0	10	0	10	10	0	0	0	1	32	13	25	9	1
2	31	2	2	264	7	8	7	7	82.01	10	8.66	7.8	8.97	7.59	8.93	7.43	7.61	3.91	5.47	5.64	6	3	37	11	16	23	1
3	36	2	2	292	5	4	8	8	73.22	10	3.25	3.11	10	4.26	3.77	7.08	6.56	7.02	8.17	10	7	3	39	21	20	33	1
4	45	2	2	348	3	6	4	5	86.99	7.67	7.31	9.57	9.47	4.17	9.03	8.17	10	6.51	8.44	6.65	7	3	34	23	18	26	1
5	49	2	2	293	9	10	2	2	103.32	9.47	9.16	9.44	9.94	9.59	9.42	9.57	9.59	9.07	9.14	8.93	1	0	25	31	32	37	1
7	37	2	2	132	3	4	8	6	68.39	8.13	10	10	1.77	9.07	9.65	9.57	0	0	5.1	5.1	1	0	26	13	10	22	1
8	23	1	2	133	4	2	6	5	52.21	7.26	2.24	6.72	2.33	7.84	5.05	2.55	7.61	0.67	2.43	7.51	6	1	22	23	31	30	1
9	26	1	2	234	7	8	7	7	35.5	3.11	3.42	3.02	3.66	0.99	3.74	3.21	6.4	3.44	2.47	2.04	5	3	25	21	24	32	1
10	30	1	2	395	3	7	5	6	51.87	8.74	0	0	10	2.35	10	7.94	7.78	0	0	5.06	5	2	32	25	24	37	1
15	28	1	2	343	7	8	7	7	95.26	10	10	10	9.47	1.58	9.18	8.46	8.48	8.77	9.32	10	0	2	36	21	25	38	1
16	30	1	2	532	7	8	7	7	62.73	1.44	7.45	7.59	4.07	7.65	8.09	8.15	8.27	1.21	3.81	5	7	3	35	22	26	30	1
17	38	1	2	231	8	8	8	8	4.88	0	0	0	0	0	4.88	0	0	0	0	0	7	2	35	15	16	17	1
18	38	2	2	339	3	5	5	5	2.01	0.02	0.25	0.14	0.02	0	0	0.45	1.05	0	0.08	0	7	2	35	17	22	26	1
19	33	1	2	658	8	8	8	8	10.02	0	0	0	0	0	0.02	0	0	10	0	0	1	2	29	22	30	34	1
20	33	1	2	640	8	7	8	7	50.47	7.61	2.14	1.36	8.23	7.53	1.89	7.04	2.49	0.99	2.1	9.09	7	3	39	16	20	22	1
21	34	2	2	266	10	10	8	9	6.85	0.08	0.35	0.64	1.09	1.21	0.56	0.95	0.78	0.43	0.25	0.51	7	3	33	12	28	24	1
22	33	2	2	447	3	6	7	8	42.85	3.56	5.1	4.36	5.8	0	4.42	5.99	6.26	0	2.26	5.1	2	2	26	20	25	26	1
23	31	1	3	361	5	7	7	9	41.43	2.16	1.95	1.91	7.8	1.17	6.4	6.95	7.35	3.05	2.2	0.49	7	2	31	19	13	24	1
24	40	1	2	652	5	6	8	8	68.6	8.15	7.22	3.27	7.18	1.81	10	2.35	10	7.7	2.57	8.35	2	1	22	27	27	28	1
25	37	1	2	246	5	5	6	6	80	10	10	10	10	0	10	10	10	0	0	10	7	2	33	22	27	34	1
26	37	2	2	396	7	7	7	6	48.1	4.32	4.22	4.16	6.15	2.9	5.14	5.66	6.23	1.21	1.79	6.32	7	3	35	11	14	15	1
27	48	1	4	308	5	5	8	8	85.81	7.9	8.46	7.45	4.07	8.74	9.24	8.02	3.97	10	10	7.96	5	2	26	31	31	38	1
29	39	1	2	443	7	7	7	7	30	10	0	0	10	0	0	0	10	0	0	0	7	3	38	13	9	9	1
30	29	1	2	747	5	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	7	3	22	16	13	25	1
31	22	1	2	382	9	8	5	7	94.4	7.11	9.77	8.89	9.75	0	10	9.86	9.75	9.77	9.77	9.73	1	0	24	29	31	30	1
32	39	2	2	688	8	9	7	8	12.69	0	0	0	1.13	0	0	4.73	6.83	0	0	0	7	3	27	20	19	19	1
33	33	1	2	301	7	9	6	7	70.27	7.33	10	10	7.57	0.72	10	5.47	10	0	8.05	1.13	3	3	26	23	11	25	1
34	23	1	2	398	8	7	9	9	42.02	7.59	4.71	6.32	4.14	0	10	3.05	6.21	0	0	0	3	3	35	18	18	23	1
35	25	1	2	1019	5	4	6	5	84.62	8.91	7.53	8.6	10	3.58	7	6.3	8.99	7.1	7.37	9.24	1	1	29	24	22	30	1
39	50	1	2	416	8	9	7	6	24.67	3.5	0	0.06	3.97	3.13	1.3	0.86	3.48	2.98	3.27	2.12	4	2	27	22	25	31	1
40	30	1	2	354	8	9	7	7	82.36	9.24	9.44	9.16	9.22	0.51	9.26	9.28	8.5	8.19	9.03	0.53	5	2	29	21	31	29	1
41	38	1	2	1096	7	7	7	7	66.92	7.43	5.04	6.19	7.63	5.08	4.01	7.35	6.81	4.98	5.12	7.28	7	2	35	18	18	19	1
44	39	1	2	627	8	8	8	8	110	10	10	10	10	10	10	10	10	10	10	10	7	3	34	18	28	24	1
45	41	2	2	468	7	7	6	6	17.29	0.64	0.68	0	0.93	0	0.14	6.01	8.89	0	0	0	7	2	35	18	17	22	1
46	29	2	2	339	7	8	8	8	40.41	2.43	3.68	4.86	4.18	2.12	5.16	3.74	5.62	3.02	3.09	2.51	6	2	34	18	18	29	1
47	31	1	2	1163	7	7	7	7	32.84	10	0	0	10	0	0	10	0	2.04	0.8	0	2	3	32	11	34	18	1
48	41	2	2	295	8	7	8	7	33.92	1.42	0.31	8.74	1.46	1.15	7.84	1.46	1.19	7.86	2.49	0	0	1	19	22	35	23	1
49	32	2	2	583	5	2	8	7	55.96	7.39	0.64	0.23	9.14	0	8.6	9.26	9.24	2.24	8.42	0.8	6	3	29	10	9	18	1
50	25	1	2	429	10	10	8	9	28.19	7.16	0	0	7.86	0	0.25	0	7.82	0	0	5.1	5	3	37	24	24	31	1
