ResponseId	Age	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_SCA	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
2	23	1	2	165	5	4	8	8	33	4	3	23	18	18	20	1
3	20	2	2	214	5	6	8	9	31	6	1	24	30	25	26	1
4	41	1	2	180	0	2	7	4	28	2	0	26	21	14	39	1
5	42	1	2	261	9	9	9	9	28	6	3	32	10	37	24	1
6	25	2	2	280	8	8	8	9	33	0	0	24	28	31	38	1
7	27	1	2	267	3	3	6	6	41	6	2	33	18	18	23	1
8	36	2	2	298	5	5	7	7	33	5	3	29	14	12	25	1
9	31	2	2	318	8	10	7	7	40	7	3	39	13	18	40	1
10	26	1	2	388	4	5	6	7	29	6	2	25	25	28	25	1
11	38	1	2	365	9	9	8	8	35	7	3	40	15	16	9	1
13	32	2	2	405	9	9	8	8	33	6	2	30	13	19	23	1
14	24	1	2	442	7	9	7	7	33	0	3	23	37	22	33	1
15	33	2	2	333	5	6	6	6	38	5	3	32	16	20	27	1
16	50	1	4	264	9	9	5	5	29	1	1	26	32	28	36	1
17	30	1	2	430	3	4	6	6	35	6	3	37	15	13	24	1
18	29	1	2	445	8	9	7	7	27	7	3	39	22	19	26	1
19	30	2	2	498	5	7	7	7	46	2	0	30	11	17	32	1
20	28	1	2	164	6	7	8	9	35	6	3	24	31	36	38	1
22	45	1	2	540	5	6	7	7	31	4	3	25	25	31	26	1
23	41	2	2	339	8	10	6	7	39	4	0	27	9	21	9	1
24	36	1	2	570	7	8	8	8	32	7	2	36	13	19	32	1
25	40	1	2	439	7	6	7	6	40	5	2	31	17	28	30	1
26	28	1	2	150	10	10	8	8	29	4	1	26	32	33	35	1
27	28	1	2	338	8	7	8	8	30	1	0	26	26	27	31	1
28	50	2	2	510	8	9	7	8	47	4	3	37	12	11	18	1
29	23	1	2	172	6	6	6	6	32	2	2	31	33	28	37	1
31	31	1	2	765	8	7	5	5	35	0	1	27	19	34	33	1
32	35	2	2	291	8	8	7	7	31	2	0	24	30	30	37	1
33	36	2	2	361	7	8	8	8	42	1	1	34	22	27	30	1
34	28	2	3	704	7	8	8	8	34	0	0		36	35	35	1
35	25	1	2	372	7	8	6	5	33	2	0	25	32	32	32	1
36	35	1	2	116	0	0	0	0	34	1	0	24	17	21	9	1
37	35	1	2	384	7	7	8	8	39	1	3	35	14	10	19	1
38	37	2	2	383	7	8	7	8	36	4	3	35	17	15	18	1
39	39	2	2	254	2	6	6	6	19	7	2	35	15	13	15	1
40	26	1	2	217	8	6	8	8	31	1	3	24	27	27	27	1
41	33	2	2	511	7	8	7	7	37	7	2	31	15	15	25	1
42	34	2	2	323	8	9	7	6	38	7	3	29	13	17	33	1
43	32	1	2	357	9	10	8	8	39	6	1	25	23	18	9	1
45	44	2	2	495	5	8	5	8	31	4	1	30	23	18	27	1
46	24	2	2	348	8	7	8	7	33	0	0	24	32	33	38	1
47	33	1	2	369	4	6	7	7	31	1	1	25	30	29	38	1
48	31	1	2	519	6	4	6	5	32	1	3	26	23	34	26	1
49	29	1	2	1093	7	8	8	8	38	2	3	28	31	36	31	1
50	35	2	2	406	8	6	8	7	36	3	3	27	25	23	29	1
51	48	2	2	387	5	3	5	4	33	0	1	22	13	14	28	1
52	30	1	2	707	3	3	6	6	31	4	2	27	32	28	39	1
53	45	1	2	673	6	8	7	7	40	5	1	37	22	15	25	1
54	33	2	2	438	6	4	6	5	39	6	3	33	27	16	25	1
55	30	1	2	631	8	10	6	8	34	6	3	30	24	33	32	1
56	33	1	2	790	7	6	8	8	30	1	1	25	24	29	26	1
57	44	2	2	364	3	4	6	4	34	5	1	24	10	19	24	1
58	25	2	2	1082	7	7	7	7	33	7	3	24	27	27	27	1
59	31	1	2	1544	8	10	8	7	39	7	3	30	20	21	22	1
60	44	2	3	418	6	3	5	5	32	0	2	24	30	29	27	1
61	47	2	2	478	9	9	8	8	39	3	3	22	15	29	31	1
62	42	1	2	335	9	8	8	7	29	2	0	23	27	33	35	1
63	26	1	2	836	6	7	6	6	28	0	1	22	34	33	39	1
64	32	2	2	426	4	4	8	8	36	6	0	36	30	27	20	1
65	32	2	2	431	8	6	8	7	32	6	3	29	25	21	29	1
66	26	1	2	530	8	9	8	8	40	2	3	26	22	20	27	1
67	26	1	2	347	4	5	6	7	36	6	3	37	20	16	21	1
68	29	1	2	231	9	9	8	8	32	6	3	39	11	23	31	1
69	29	1	2	415	6	6	6	6	31	5	3	22	36	30	36	1
70	29	2	5	1377	8	7	8	8	29	1	1	22	31	30	34	1
71	32	1	2	248	10	10	8	8	36	7	3	39	12	17	16	1
72	26	1	2	638	8	8	8	7	29	4	2	21	36	26	33	1
73	27	2	5	295	8	6	6	8	31	1	0	21	31	35	31	1
