ResponseId	Age	Gender	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_SCA	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
1	19	2	759	0	5	4	6	36	3	1	30	37	22	21	1
2	19	2	1195	6	7	8	12	34	2	3	26	27	36	24	1
3	21	2	1032	6	6	8	8	35	3	2	29	29	21	19	1
4	19	2	1077	3	5	6	7	35	4	2	25	29	30	29	1
5	20	2	1785	8	7	9	10	38	3	0	33	49	22	27	1
6	20	2	2546	3	4	6	7	37	1	3	29	43	21	31	1
7	20	2	1534	5	4	9	7	34	2	1	27	44	25	26	1
8	20	2	1174	2	2	4	4	39	2	0	26	51	20	29	1
9	48	2	824	6	6	8	8	41	5	3	30	48	29	25	1
13	20	2	789	3	3	6	6	40	1	1	31	36	22	21	1
14	19	2	776	8	9	7	7	34	3		36	17	23	20	1
15	19	1	830	9	10	10	7	43	6	3	37	39	39	26	1
16	20	1	516	6	8	6	5	43	6	3	35	40	13	26	1
17	21	2	1126	0	0	6	6	38	3	1	26	12	23	18	1
18	19		617	6	7	9	9	30	6			58	28	38	1
20	21	2	606	6	2	8	6	42	5	1	35	12	19	20	1
21	23	2	1490	2	3	9	8	36	3	1	26	26	27	26	1
24	19	2	1000	5	5	8	8	30	6	3	29	34	28	32	1
25	23	1	951	6	5	6	7	44	6	3	29	42	22	25	1
26	21	2	800	6	7	5	6	38	6	3	26	12	22	23	1
27	20	2	997	8	9	7	6	37	5	3	33	40	29	28	1
28	23	2	693	4	3	5	6	36	4	0	28	42	24	17	1
31	21		800	4	3	8	7	31	2			50	23	24	1
33	19	2	1046	6	9	9	9	37	4	3	27	38	20	33	1
38	20	2	835	3	5	7	8	33	3	1	33	6	15	20	1
41	29	2	1298	4	2	7	7	41	7	3	24	44	19	18	1
42	18	2	1505	4	6	5	7	38	0	1	26	37	28	34	1
43	19		217	6	4	6	8	42							1
44	22		1422	8	4	6	4	40	3			53	33	27	1
47	20		577	6	6	9	9	41				26	16	17	1
48	20		515	6	6	8	9	31				16	20	19	1
50	21	2	2473	6	8	8	7	34	2	0	21	39	23	34	1
52	41	2	2266	4	3	7	5	40	6	3	35	38	25	17	1
54	25	2	1350	3	6	8	7	36	5	3	29	33	22	29	1
59	23	1	723	7	5	7	6	32	2	2	32	25	29	18	1
60	22	2	2322	4	5	7	5	40	3	3	30	25	15	26	1
61	20	1	1713	4	4	10	8	43	2	2	31	18	26	30	1
62	21	2	947	8	6	9	10	41	3	1	31	28	22	18	1
63	20	2	902	6	7	6	7	32	1	3	26	48	26	34	1
64	18	2	1338	7	9	7	10	42	6	2	30	34	32	31	1
65	20	2	2857	7	8	8	10	34	3	1	25	26	32	25	1
68	19	2	935	7	10	8	9	32	5	3	30	36	28	29	1
69	21	2	1188	8	6	9	8	37	5	3	31	22	17	24	1
72	25	1	492	5	6	6	9	35	2	2	22	31	27	32	1
74	23		71	8	5	1	2	31							1
75	25		118					34							1
76	24	2	752	3	6	5	6	41	2	2	28	34	36	25	1
77	21	2	828	6	7	7	7	29	2	3	31	0	16	16	1
78	22	2	1051	4	7	6	9	38	2	1	29	21	30	22	1
79	21	2	673	7	3	8	5	37	4	2	16	12	20	19	1
80	19	2	610	6	6	7	6	33	1	0	22	41	24	31	1
81	20	2	1263	8	10	8	9	44	0	3	33	15	21	15	1
82	24	1	868	4	4	6	5	36	2	3	30	40	24	28	1
84	23	2	732	3	5	5	7	38	3	1	25	15	25	19	1
