ResponseId	Age	Gender	Tromp	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Moral_CAR	Age_correct
3	31	1	0	530	1	17	8	9	9	66.17	30	0.642857142857143	1
4	36	2	0	635	1	19	9	8	8	62.64	38	1	1
5	28	2	0	703	1	10	7	6	6	57.22	32	1	1
6	49	1	0	544	1	18	7	8	8	58.8	35	0.785714285714286	1
7	35	1	0	442	1	17	6	8	6	48.92	30	0.857142857142857	1
8	42	3	0	636	1	5	3	5	4	56.1	30	1	1
9	37	1	0	721	1	17	9	7	7	79.89	38	0.785714285714286	1
10	35	1	0	557	1	12	6	7	7	0	30	1	1
11	27	1	0	442	1	19	8	8	8	8.64	24	1	1
12	33	1	0	679	1	18	9	7	7	91.54	33	1	1
13	38	1	0	691	1	14	6	7	7	80.87	39	0.785714285714286	1
14	29	1	0	552	1	18	10	7	7	56.38	34	0.857142857142857	1
15	32	1	0	470	1	13	6	7	7	80.49	40	0.928571428571429	1
16	28	2	0	787	1	17	10	8	9	74.27	32	0.714285714285714	1
17	23	2	1	938	1	18	7	8	8	40.23	32	0.571428571428571	1
18	44	1	0	795	1	17	8	7	7	80.98	40	0.857142857142857	1
19	27	1	0	373	1	16	7	8	8	50.54	32	0.857142857142857	1
20	27	1	0	1222	1	16	5	8	8	25.74	30	0.785714285714286	1
21	41	1	0	517	1	14	8	8	8	74.26	30	1	1
22	33	1	0	735	1	11	3	5	5	84.39	34	0.571428571428571	1
23	44	2	0	276	1	20	10	8	8	110	46	1	1
24	29	1	0	132	1	11	3	8	8	62.92	28	1	1
25	22	2	0	209	1	20	10	7	7	61.54	32	1	1
26	29	1	0	133	1	18	9	8	8	66.7	33	0.857142857142857	1
27	50	1	1	501	1	21	10	8	8	48.95	33	0.5	1
28	26	1	0	471	0	14	7	8	8	65.51	38	0.785714285714286	1
29	25	1	0	456	1	7	7	7	8	84.46	36	0.5	1
30	31	2	0	480	1	11	2	4	3	110	40	0.714285714285714	1
