ResponseId	Age	Gender	Duration	Tromp	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Age_correct
6	19	2	439	1	1	18	18	8.83333333333333	8.41666666666667	17.61	39	1
7	25	2	510	3	1	17	17	9.25	8	40.08	31	1
8	37	2	381	1	1	17	17	7.35714285714286	7.5	90	37	1
9	36	2	772	1	1	18	19	6.91666666666667	7.41666666666667	38.77	33	1
11	35	2	714	1	1	18	14	9.11904761904762	10.25	67.93	37	1
12	29	1	764	1	1	19	19	7.25	8.08333333333333	96.03	38	1
14	47	1	695	1	1	17	18	9.90476190476191	6.16666666666667	52.13	33	1
15	28	1	442	1	1	19	18	7.29761904761905	6.41666666666667	14.79	34	1
16	27	2	596	1	1	15	16	7.44047619047619	7.83333333333333	7.21	38	1
18	25	1	820	1	1	16	18	7.13095238095238	7.41666666666667	33.36	40	1
21	30	2	750	1	1	18	18	8.75	8.25	2.86	33	1
24	34	1	283	1	1	19	20	7.76785714285714	7.5	61.88	34	1
27	47	2	653	1	1	15	15	7.83333333333333	7.83333333333333	80.24	32	1
29	44	2	507	1	1	17	18	8.25	8.16666666666667	8.01	27	1
30	42	2	619	1	0					37.14	30	1
32	29	2	474	1	1	18	19	8.79761904761905	8.66666666666667	61.06	29	1
34	35	2	297	1	1	18	18	7.91666666666667	8	19.56	35	1
35	40	1	555	1	1	18	17	7.41666666666667	7	46.5	34	1
37	33	2	721	1	1	16	17	6.66666666666667	8.75	44.89	34	1
38	32	2	706	1	1	17	17	7.76190476190476	6.96666666666667	20.61	36	1
40	30	2	592	1	1	16	18	8.16666666666667	8.5	69.09	31	1
42	30	2	481	1	1	19	16	9.34523809523809	4.91666666666667	8.61	26	1
44	28	2	459	1	1	13	13	7.04761904761905	7.41666666666667	13.34	33	1
45	38	2	494	1	1	17	15	8.63095238095238	7.5	20.89	31	1
46	30	1	342	4	1	17	18	9.07142857142857	7.75	22.57	29	1
47	50	1	537	1	1	14	17	7.30952380952381	6.91666666666667	40.05	34	1
48	49	2	613	1	1	16	18	7.82142857142857	7.5	56.36	38	1
49	28	2	700	1	1	17	17	8.52380952380952	5.75	54.86	37	1
50	21	2	262	1	1	14	15	9.05952380952381	8.5	21.43	37	1
51	30	2	621	1	1	16	18	8.03571428571429	8.75	48.92	36	1
52	35	2	834	1	0		9		4.75	15.42	34	1
53	19	1	1432	1	1	16	16	8	5.83333333333333	43.96	41	1
54	33	2	541	1	1	7	18	5.40476190476191	7.91666666666667	45.21	34	1
55	43	2	382	1	1	15	18	9.40476190476191	8.91666666666667	9.01	29	1
56	34	2	967	1	1	13	16	6.64285714285714	7.66666666666667	1.89	32	1
57	31	2	688	1	1	19	18	8.03571428571429	8.5	28.61	34	1
58	42	2	465	1	1	14	13	7.16666666666667	6.66666666666667	7.57	33	1
59	33	2	451	2	1	7	6	7.71428571428571	6.5	3.11	37	1
60	41	2	514	1	1	17	18	8.26190476190476	7.83333333333333	0.22	37	1
61	23	2	485	1	1	19	19	8.42857142857143	9	34.44	39	1
62	34	2	544	1	1	14	15	9.17857142857143	8.16666666666667	24.46	38	1
63	40	2	387	1	1	18	18	8.45238095238095	8.91666666666667	59.39	33	1
64	32	2	528	1	1	11	14	5.91071428571429	5.25	52.37	36	1
65	50	2	587	3	1	14	16	8.76190476190476	5.91666666666667	50	32	1
66	47	1	701	1	1	18	18	6.88095238095238	6.5	2.26	33	1
67	31	2	554	1	1	18	19	8.45	8	47.8	38	1
68	30	2	557	1	1	16	13	6.16666666666667	6.16666666666667	55.33	35	1
69	49	2	682	1	1	13	18	7.61309523809524	7.33333333333333	46.03	34	1
70	35	2	997	1	1	18	18	8.27380952380952	7.91666666666667	0	33	1
71	50	2	443	1	1	11	12	6.21428571428571	6.83333333333333	19.69	31	1
72	30	2	616	1	1	11	18	6.25	7.75	5.63	36	1
73	33	2	513	1	1	18	18	7.86904761904762	9.83333333333333	64.5	34	1
74	32	2	578	1	1	16	19	7.67857142857143	7.41666666666667	39.03	33	1
75	24	2	582	1	1	16	16	7.25	7	6.92	39	1
76	45	2	556	1	1	17	18	8.39285714285714	7.5	49.83	38	1
77	35	2	608	1	1	10	17	7.35714285714286	8.33333333333333	30.11	29	1
78	42	1	622	1	1	12	19	6.82142857142857	7.66666666666667	65.5	33	1
79	40	2	1078	1	1	16	18	7.79761904761905	8.16666666666667	30.34	35	1
80	41	2	579	1	1	15	17	6.69047619047619	7	0	34	1
81	38	1	932	1	1	20	19	7.5	7.83333333333333	50.99	39	1
82	33	1	665	1	1	12	16	7.71428571428572	10.8333333333333	2.55	33	1
83	36	2	691	1	1	15	15	8.11904761904762	7.9	11.27	28	1
84	29	2	771	1	1	13	18	9.07142857142857	9.41666666666667	100.62	38	1
85	38	2	695	1	1	18	18	9.27619047619048	8.66666666666667	15.91	32	1
86	45	1	689	1	1	17	19	6.5	7.33333333333333	46.34	36	1
87	25	2	855	1	1	19	19	9	8.75	45.1	35	1
88	48	1	1638	1	1	19	18	7.96666666666667	6.8	27.49	37	1
89	21	1	525	1	1	15	17	8.68214285714286	7	44.54	35	1
90	30	2	882	1	1	18	18	9.59523809523809	9.5	46.64	38	1
91	34	2	853	1	1	15	16	8.41666666666667	6.91666666666667	0	28	1
92	27	1	834	1	1	14	18	7.85714285714286	7.75	57.98	33	1
93	18	1	748	1	1	18	18	8.83333333333333	8.66666666666667	52.98	35	1
94	31	2	997	1	1	14	17	8.38095238095238	8.58333333333333	17.32	38	1
95	33	1	1083	1	1	8	18	5.67857142857143	6.25	50.69	35	1
96	40	2	892	1	1	15	18	7.96428571428571	8.25	23.85	34	1
97	23	1	891	1	1	14	18	7.83333333333333	7.5	2.09	34	1
98	29	2	1151	1	1	13	19	8.15476190476191	8.33333333333333	57.34	32	1
99	23	2	1000	1	1	17	18	10	9.5	28.74	41	1
100	29	2	1097	1	1	19	19	7.4047619047619	7.25	25.86	35	1
101	48	1	1049	1	1	17	18	8.33333333333333	7.5	52.68	38	1
102	29	2	1094	1	1	14	19	8.5	9.25	19.85	36	1
103	41	2	1092	1	1	16	18	8.44047619047619	8.91666666666667	6.4	30	1
104	22	1	1532	1	1	16	20	8.69642857142857	7.3	31.04	28	1
105	29	2	1208	1	1	14	18	8.41666666666667	9.75	26.5	36	1
106	21	2	1030	1	1	18	17	9.42857142857143	6.25	26.96	37	1
107	50	1	1281	1	1	8	13	3.92857142857143	6.83333333333333	38.4	34	1
108	33	2	1632	1	1	19	18	7.39285714285714	7.16666666666667	34.8	30	1
109	25	2	1897	1	1	17	19	6.64285714285714	8.25	46.23	38	1
110	32	2	647	1	1	14	17	8.94047619047619	9.25	2.18	32	1
111	30	2	975	1	1	17	19	6.85714285714286	7.5	19.15	32	1
114	20	2	425	1	1	16	18	9.57142857142857	8	51.11	37	1
115	34	2	512	1	1	17	18	6.575	7.5	4.15	33	1
116	42	1	515	1	1	15	17	7.7202380952381	4.66666666666667	63.49	41	1
117	42	2	545	1	1	19	19	7.78571428571429	8	51.97	42	1
118	19	2	551	1	1	17	18	9.63095238095238	9.08333333333333	43.2	37	1
119	26	2	568	1	1	16	19	9.19047619047619	8.33333333333333	0	37	1
120	45	2	579	1	1	19	18	7.85714285714286	7.5	6.57	33	1
121	43	2	617	1	1	17	17	8.94047619047619	9.16666666666667	0	33	1
123	35	2	898	1	1	19	20	7.29761904761905	7.16666666666667	78.79	40	1
124	30	1	971	1	1	16	19	8.77380952380952	8.91666666666667	45.98	36	1
125	26	2	1160	1	1	16	17	7.95238095238095	10.5	33.21	41	1
126	24	2	1128	1	1	17	19	6.54761904761905	8.75	25.15	38	1
127	21	2	613	1	1	15	11	7.91666666666667	2.46666666666667	28	31	1
128	35	2	1307	1	1	10	12	6.96428571428571	6.25	66.89	37	1
129	29	1	1653	1	1	18	18	7.9047619047619	7.83333333333333	5.92	36	1
